Order_ID,Customer_ID,Product,Category,Quantity,Unit_Price,Purchase_Date,Total_Amount
1039,2024,Laptop,Electronics,4,10000,2023-05-27,40000
1040,2013,Headphones,accessories,2,500,2023-02-24,1000
1041,2060,Headphones,accessories,1,15000,2023-08-26,15000
1042,2007,Keyboard,accessories,1,500,2023-12-22,500
1043,2057,Smartphone,electronics,1,2000,2023-06-22,2000
1044,2036,Mouse,Accessories,1,10000,2023-08-09,10000
1045,2045,Charger,Accessories,1,15000,2023-04-29,15000
1046,2020,Charger,Accessories,4,,2023-11-05,
1047,2065,Mouse,Accessories,1,15000,2023-07-02,15000
1048,2008,Keyboard,accessories,2,1000,2023-10-15,2000
1049,,Monitor,Electronics,5,5000,2023-11-03,25000
1050,2016,Monitor,Electronics,3,1000,2023-10-27,3000
1051,2014,Keyboard,accessories,4,15000,2023-03-23,60000
1052,2076,Monitor,Electronics,1,10000,2023-07-30,10000
1053,2087,Headphones,accessories,1,500,2023-05-30,500
1054,2015,Charger,Accessories,1,,2023-02-06,
1055,2092,Keyboard,accessories,1,500,2023-12-18,500
1056,2098,Charger,Accessories,2,10000,2023-11-08,20000
1057,2066,Mouse,Accessories,1,15000,2023-12-27,15000
1058,2032,Laptop,Electronics,1,20000,2023-02-28,20000
1059,2087,Headphones,accessories,1,500,2023-05-11,500
1060,2063,Tablet,,3,20000,2023-07-21,60000
1061,2086,Headphones,accessories,2,500,2023-08-31,1000
1062,2051,Keyboard,accessories,2,500,2023-02-04,1000
1063,2025,Tablet,ELECTRONICS,3,,2023-04-03,
1064,2058,Laptop,Electronics,4,5000,2023-07-26,20000
1065,2063,Keyboard,accessories,1,5000,2023-12-19,5000
1066,2062,Smartphone,electronics,4,2000,2023-11-28,8000
1067,2022,Charger,Accessories,4,1000,2023-11-01,4000
1068,2058,Laptop,Electronics,1,10000,2023-12-16,10000
1069,2058,Charger,Accessories,5,10000,2023-08-01,50000
1070,2086,Monitor,Electronics,5,10000,2023-06-08,50000
1071,2049,Smartphone,electronics,1,2000,2023-01-24,2000
1072,2052,Smartphone,electronics,2,5000,2023-10-20,10000
1073,2042,Laptop,Electronics,5,15000,2023-01-04,75000
1074,2070,Smartphone,electronics,4,20000,2023-08-08,80000
1075,2015,Tablet,ELECTRONICS,1,,2023-12-30,
1076,2054,Smartphone,electronics,2,20000,2023-01-20,40000
1077,,Charger,Accessories,2,15000,2023-06-01,30000
1078,2060,Charger,Accessories,3,,2023-02-19,
1079,,Keyboard,accessories,4,2000,2023-06-26,8000
1080,2097,Charger,Accessories,2,15000,2023-04-06,30000
1081,2008,Keyboard,accessories,3,10000,2023-04-15,30000
1082,2053,Charger,Accessories,4,1000,2023-09-07,4000
1083,2060,Tablet,ELECTRONICS,1,500,2023-04-27,500
1084,,Lapptop,Accessories,2,20000,2023-12-20,40000
1085,,Keyboard,accessories,4,5000,2023-08-16,20000
1086,2005,Headphones,accessories,5,5000,2023-03-07,25000
1087,,Monitor,Electronics,3,2000,2023-12-01,6000
1088,2068,Laptop,Electronics,3,,2023-09-19,
1089,2006,Charger,Accessories,1,5000,2023-10-22,5000
1090,,Smartphone,electronics,3,10000,2023-08-31,30000
1091,2096,Mouse,Accessories,3,20000,2023-07-05,60000
1092,2094,Charger,Accessories,2,15000,2023-09-03,30000
1093,2047,Smartphone,electronics,2,10000,2023-05-05,20000
1094,2099,Monitor,Electronics,2,2000,2023-09-25,4000
1095,2055,Monitor,Electronics,1,10000,2023-05-11,10000
1096,2040,Monitor,Electronics,2,15000,2023-08-25,30000
1097,2052,Smartphone,electronics,2,1000,2023-01-18,2000
1098,2016,Charger,,2,2000,2023-02-09,4000
1099,2013,Monitor,Electronics,1,1000,2023-01-21,1000
1100,,Tablet,ELECTRONICS,5,500,2023-08-13,2500
1101,2030,,accessories,3,1000,2023-12-21,3000
1102,2019,Smartphone,electronics,4,500,2023-10-09,2000
1103,2017,Smartphone,electronics,4,500,2023-01-08,2000
1104,2063,Charger,Accessories,3,1000,2023-04-10,3000
1105,2019,Smartphone,electronics,1,2000,2023-08-28,2000
1106,2092,Smartphone,electronics,3,,2023-03-28,
1107,2058,Monitor,Electronics,3,15000,2023-10-25,45000
1108,2055,Charger,Accessories,4,10000,2023-01-14,40000
1109,2090,Monitor,Electronics,3,10000,2023-11-30,30000
1110,,Keyboard,accessories,1,15000,2023-01-02,15000
1111,2090,Mouse,Accessories,2,20000,2023-10-20,40000
1112,2062,Keyboard,accessories,2,20000,2023-11-21,40000
1113,2023,Mouse,Accessories,4,500,2023-02-10,2000
1114,2009,Monitor,Electronics,3,500,2023-11-14,1500
1115,2012,Keyboard,accessories,2,2000,2023-11-12,4000
1116,2001,Charger,Accessories,,5000,2023-04-21,
1117,2058,Laptop,Electronics,4,1000,2023-01-14,4000
1118,2001,Monitor,Electronics,2,500,2023-08-19,1000
1119,2034,Mouse,Accessories,1,10000,2023-03-25,10000
1120,2096,Tablet,ELECTRONICS,1,2000,2023-05-10,2000
1121,2048,Mouse,Accessories,2,1000,2023-08-19,2000
1122,2089,Tablet,ELECTRONICS,1,2000,2023-11-22,2000
1123,,Smartphone,electronics,1,1000,2023-05-25,1000
1124,,Keyboard,accessories,2,1000,2023-12-11,2000
1125,2001,Tablet,ELECTRONICS,1,15000,2023-01-28,15000
1126,2016,Mouse,Accessories,5,500,2023-03-07,2500
1127,2061,Smartphone,electronics,1,,2023-06-12,
1128,,Laptop,Electronics,3,2000,2023-08-17,6000
1129,2064,Charger,Accessories,3,,2023-09-18,
1130,2063,Charger,Accessories,,2000,2023-06-13,
1131,2069,Charger,Accessories,1,15000,2023-10-28,15000
1132,2022,Tablet,ELECTRONICS,2,10000,2023-10-30,20000
1133,2093,Laptop,Electronics,,,2023-10-14,
1134,2067,Tablet,ELECTRONICS,5,10000,2023-01-10,50000
1135,2076,Keyboard,accessories,5,20000,2023-07-14,100000
1136,2026,Tablet,ELECTRONICS,2,500,2023-04-28,1000
1137,2016,Laptop,Electronics,1,500,2023-09-27,500
1138,2051,Laptop,Electronics,4,5000,2023-03-21,20000
1139,,Keyboard,accessories,5,15000,2023-04-03,75000
1140,2086,Lapptop,Electronics,3,10000,2023-09-23,30000
1141,2057,Mouse,Accessories,3,1000,2023-11-28,3000
1142,2029,Lapptop,Electronics,2,2000,2023-12-16,4000
1143,2078,Charger,Accessories,4,500,2023-12-27,2000
1144,2092,Mouse,Accessories,1,,2023-09-14,
1145,2069,Mouse,Accessories,2,2000,2023-05-13,4000
1146,2047,Keyboard,accessories,3,2000,2023-10-03,6000
1147,2094,Headphones,accessories,3,5000,2023-09-21,15000
1148,,Headphones,accessories,2,10000,2023-06-20,20000
1149,2062,Laptop,Electronics,1,500,2023-01-01,500
1150,2069,Mouse,Accessories,4,2000,2023-11-09,8000
1151,2076,Headphones,accessories,2,500,2023-03-05,1000
1152,2016,Headphones,accessories,3,1000,2023-10-11,3000
1153,2090,Laptop,Electronics,1,5000,2023-05-01,5000
1154,2090,Headphones,accessories,3,1000,2023-04-17,3000
1155,2048,Tablet,ELECTRONICS,3,500,2023-06-24,1500
1156,2085,Smartphone,electronics,1,20000,2023-07-23,20000
1157,2039,Keyboard,accessories,2,,2023-06-14,
1158,2100,Smartphone,electronics,1,500,2023-11-01,500
1159,2033,Laptop,Electronics,1,10000,2023-04-30,10000
1160,2094,Charger,Accessories,,2000,2023-02-13,
1161,,Keyboard,accessories,2,2000,2023-11-08,4000
1162,2023,Laptop,Electronics,5,1000,2023-06-05,5000
1163,2010,Mouse,Accessories,2,,2023-07-26,
1164,2069,Charger,Accessories,4,5000,2023-04-18,20000
1165,2100,Smartphone,electronics,4,20000,2023-09-08,80000
1166,2034,Laptop,Electronics,3,15000,2023-11-30,45000
1167,2052,Mouse,Accessories,3,,2023-05-10,
1168,2095,Keyboard,accessories,3,2000,2023-10-20,6000
1169,2010,Keyboard,accessories,2,10000,2023-01-20,20000
1170,2019,Monitor,Electronics,5,,2023-10-09,
1171,2058,Mouse,Accessories,5,1000,2023-10-12,5000
1172,2096,Tablet,ELECTRONICS,,1000,2023-01-01,
1173,2001,Headphones,accessories,1,15000,2023-04-29,15000
1174,2069,Charger,Accessories,4,10000,2023-02-04,40000
1175,,Mouse,Accessories,5,5000,2023-07-17,25000
1176,2004,Monitor,Electronics,1,,2023-09-02,
1177,2016,Headphones,accessories,1,10000,2023-02-28,10000
1178,2024,Headphones,accessories,4,5000,2023-11-21,20000
1179,2080,Laptop,Electronics,3,10000,2023-06-10,30000
1180,2002,Headphones,accessories,5,10000,2023-06-28,50000
1181,2092,Tablet,,1,500,2023-07-25,500
1182,2032,Keyboard,,4,1000,2023-01-12,4000
1183,2091,Monitor,Electronics,2,,2023-10-03,
1184,2084,Headphones,accessories,1,10000,2023-06-30,10000
1185,2024,Laptop,Electronics,1,,2023-08-30,
1186,2012,Tablet,ELECTRONICS,5,15000,2023-08-04,75000
1187,2050,Smartphone,electronics,4,10000,2023-09-08,40000
1188,2035,Keyboard,accessories,3,2000,2023-10-26,6000
1189,2033,Keyboard,accessories,2,1000,2023-05-06,2000
1190,2033,Monitor,Electronics,5,2000,2023-08-05,10000
1191,2061,Keyboard,accessories,2,,2023-11-02,
1192,2051,Headphones,accessories,5,,2023-10-12,
1193,2043,Laptop,Electronics,3,1000,2023-07-04,3000
1194,,Keyboard,accessories,2,,2023-02-08,
1195,2012,Keyboard,accessories,3,2000,2023-08-11,6000
1196,2067,Smartphone,electronics,2,10000,2023-07-03,20000
1197,2065,Smartphone,electronics,4,10000,2023-06-27,40000
1198,2033,Charger,Accessories,3,500,2023-10-21,1500
1199,2040,Tablet,ELECTRONICS,2,15000,2023-12-06,30000
1200,2074,Headphones,accessories,5,,2023-05-31,
1201,2043,Keyboard,accessories,2,2000,2023-05-06,4000
1202,2044,Mouse,Accessories,3,,2023-10-28,
1203,2029,Keyboard,accessories,5,,2023-11-04,
1204,2013,Laptop,Electronics,4,5000,2023-12-02,20000
1205,2012,Charger,Accessories,1,500,2023-08-22,500
1206,2095,,ELECTRONICS,5,2000,2023-01-08,10000
1207,2046,Mouse,Accessories,4,2000,2023-12-07,8000
1208,2002,Charger,Accessories,2,,2023-05-09,
1209,2035,Monitor,Electronics,1,500,2023-09-21,500
1210,2087,Tablet,ELECTRONICS,4,10000,2023-06-06,40000
1211,2081,Keyboard,accessories,4,2000,2023-12-18,8000
1212,2090,Keyboard,accessories,3,10000,2023-12-24,30000
1213,2008,Tablet,ELECTRONICS,5,500,2023-01-05,2500
1214,2093,Keyboard,accessories,4,10000,2023-03-27,40000
1215,2026,Headphones,accessories,1,1000,2023-06-24,1000
1216,2074,Tablet,ELECTRONICS,2,5000,2023-10-17,10000
1217,2090,Charger,Accessories,2,20000,2023-07-12,40000
1218,2034,Tablet,ELECTRONICS,4,2000,2023-11-07,8000
1219,,Mouse,Accessories,1,15000,2023-04-29,15000
1220,2007,Keyboard,accessories,3,5000,2023-08-06,15000
1221,2068,Headphones,accessories,4,20000,2023-04-24,80000
1222,2058,Headphones,accessories,5,10000,2023-05-25,50000
1223,,Monitor,Electronics,2,2000,2023-01-26,4000
1224,2075,Charger,Accessories,5,10000,2023-05-16,50000
1225,2029,Smartphone,electronics,1,1000,2023-10-30,1000
1226,2036,Smartphone,electronics,5,500,2023-08-20,2500
1227,2089,Tablet,ELECTRONICS,1,2000,2023-03-17,2000
1228,2021,Monitor,Electronics,2,20000,2023-11-24,40000
1229,2036,Laptop,Electronics,4,20000,2023-12-11,80000
1230,2010,Tablet,ELECTRONICS,1,1000,2023-10-29,1000
1231,,Monitor,Electronics,2,1000,2023-10-16,2000
1232,2073,Charger,Accessories,4,,2023-01-01,
1233,2024,Charger,Accessories,4,2000,2023-05-27,8000
1234,2064,Charger,Accessories,4,10000,2023-10-14,40000
1235,2099,Charger,Accessories,4,15000,2023-05-22,60000
1236,2049,Charger,Accessories,3,20000,2023-02-22,60000
1237,2099,Monitor,Electronics,2,20000,2023-10-31,40000
1238,2036,Monitor,Electronics,2,1000,2023-03-10,2000
1239,2082,Headphones,accessories,1,5000,2023-12-27,5000
1240,,Mouse,Accessories,5,1000,2023-03-31,5000
1241,2096,Smartphone,electronics,3,15000,2023-08-08,45000
1242,2024,Keyboard,,3,10000,2023-07-11,30000
1243,2023,Charger,Accessories,3,10000,2023-03-04,30000
1244,2062,Laptop,Electronics,5,5000,2023-03-14,25000
1245,2096,Keyboard,accessories,1,20000,2023-06-10,20000
1246,2037,Monitor,Electronics,3,1000,2023-06-18,3000
1247,2012,Laptop,Electronics,3,,2023-03-30,
1248,2055,Laptop,Electronics,4,10000,2023-06-25,40000
1249,2013,Lapptop,Electronics,1,15000,2023-09-26,15000
1250,2023,Headphones,accessories,5,2000,2023-03-14,10000
1251,2089,Monitor,,5,500,2023-09-02,2500
1252,2099,Laptop,Electronics,3,500,2023-03-18,1500
1253,,Charger,Accessories,4,500,2023-06-08,2000
1254,2030,Tablet,ELECTRONICS,5,,2023-11-20,
1255,2017,Laptop,Electronics,4,20000,2023-04-08,80000
1256,2062,Headphones,accessories,1,1000,2023-04-12,1000
1257,2084,Keyboard,accessories,3,5000,2023-05-12,15000
1258,2089,Monitor,,4,,2023-04-12,
1259,2086,Mouse,Accessories,3,,2023-01-19,
1260,2013,Headphones,accessories,4,10000,2023-03-23,40000
1261,2059,Laptop,Electronics,5,2000,2023-10-06,10000
1262,2019,Monitor,Electronics,5,,2023-12-05,
1263,2049,Tablet,ELECTRONICS,3,15000,2023-12-31,45000
1264,2100,Laptop,Electronics,1,2000,2023-11-27,2000
1265,2012,Headphones,accessories,,15000,2023-05-09,
1266,2061,Smartphone,electronics,5,20000,2023-12-10,100000
1267,,Charger,Accessories,1,1000,2023-11-06,1000
1268,2019,Mouse,Accessories,5,500,2023-03-30,2500
1269,2076,Keyboard,accessories,5,,2023-08-01,
1270,2009,Headphones,accessories,3,1000,2023-05-23,3000
1271,2071,Monitor,Electronics,3,20000,2023-03-06,60000
1272,2028,Mouse,,2,5000,2023-03-17,10000
1273,2078,Mouse,Accessories,1,5000,2023-07-18,5000
1274,2095,Mouse,Accessories,2,20000,2023-05-23,40000
1275,2052,Laptop,Electronics,5,15000,2023-11-12,75000
1276,2083,Charger,Accessories,1,10000,2023-04-03,10000
1277,2016,Laptop,Electronics,2,10000,2023-11-01,20000
1278,2069,Monitor,Electronics,2,15000,2023-08-12,30000
1279,2099,Laptop,Electronics,3,5000,2023-10-18,15000
1280,2012,Smartphone,electronics,5,5000,2023-04-12,25000
1281,2025,Charger,Accessories,2,,2023-09-24,
1282,2052,Charger,Accessories,2,5000,2023-12-21,10000
1283,2085,Lapptop,Electronics,4,1000,2023-04-20,4000
1284,2100,Keyboard,accessories,3,5000,2023-11-26,15000
1285,2053,Smartphone,electronics,2,2000,2023-09-22,4000
1286,2023,Headphones,accessories,3,,2023-01-03,
1287,2016,Laptop,Electronics,1,500,2023-03-26,500
1288,2057,Tablet,ELECTRONICS,1,5000,2023-10-09,5000
1289,2039,Laptop,Electronics,3,15000,2023-11-24,45000
1290,,Mouse,Accessories,3,500,2023-10-31,1500
1291,2053,Laptop,Electronics,5,1000,2023-04-27,5000
1292,2042,Headphones,accessories,2,15000,2023-08-09,30000
1293,2058,Laptop,Electronics,3,500,2023-06-03,1500
1294,2039,Smartphone,electronics,4,15000,2023-06-02,60000
1295,2014,Smartphone,electronics,1,1000,2023-01-12,1000
1296,2095,Charger,Accessories,4,,2023-05-13,
1297,2005,Monitor,Electronics,1,2000,2023-10-31,2000
1298,2035,Keyboard,accessories,,1000,2023-10-20,
1299,2087,Tablet,ELECTRONICS,1,1000,2023-10-27,1000
1300,2093,Mouse,Accessories,3,15000,2023-08-16,45000
1301,,Laptop,Electronics,1,,2023-09-28,
1302,2075,Laptop,,,20000,2023-02-12,
1303,2018,Headphones,accessories,3,10000,2023-12-09,30000
1304,2076,Monitor,Electronics,3,5000,2023-11-22,15000
1305,2009,Smartphone,electronics,1,5000,2023-10-29,5000
1306,2074,Tablet,ELECTRONICS,4,2000,2023-12-30,8000
1307,2058,Charger,Accessories,2,2000,2023-01-21,4000
1308,,Smartphone,electronics,5,5000,2023-04-17,25000
1309,2017,Mouse,Accessories,2,10000,2023-12-02,20000
1310,,Monitor,Electronics,1,5000,2023-10-30,5000
1311,2007,Mouse,Accessories,1,20000,2023-04-27,20000
1312,2046,Keyboard,accessories,3,10000,2023-05-04,30000
1313,2013,Charger,Accessories,3,2000,2023-10-08,6000
1314,2040,Keyboard,accessories,1,500,2023-10-19,500
1315,2042,Headphones,accessories,4,15000,2023-07-22,60000
1316,2009,Mouse,Accessories,3,20000,2023-02-20,60000
1317,2050,Headphones,accessories,3,20000,2023-09-28,60000
1318,2027,Laptop,Electronics,3,,2023-11-20,
1319,2066,Keyboard,accessories,3,2000,2023-10-04,6000
1320,2005,Monitor,Electronics,3,2000,2023-05-21,6000
1321,2029,Mouse,Accessories,1,1000,2023-10-02,1000
1322,2037,Tablet,ELECTRONICS,1,20000,2023-10-17,20000
1323,2038,Charger,Accessories,5,1000,2023-11-30,5000
1324,2083,Smartphone,electronics,5,1000,2023-02-21,5000
1325,2008,Monitor,Electronics,2,15000,2023-01-27,30000
1326,,Monitor,Electronics,2,1000,2023-06-06,2000
1327,2065,Headphones,accessories,4,10000,2023-08-27,40000
1328,2086,Keyboard,accessories,3,5000,2023-06-05,15000
1329,2017,Mouse,Accessories,1,500,2023-10-18,500
1330,2071,Mouse,Accessories,1,2000,2023-05-16,2000
1331,2089,Laptop,Electronics,4,10000,2023-05-24,40000
1332,2045,Laptop,Electronics,4,500,2023-04-16,2000
1333,2004,Charger,Accessories,1,20000,2023-06-07,20000
1334,2036,Headphones,accessories,2,20000,2023-05-26,40000
1335,2070,Monitor,Electronics,2,20000,2023-01-02,40000
1336,2031,Mouse,Accessories,4,10000,2023-03-18,40000
1337,2019,Tablet,ELECTRONICS,1,10000,2023-05-12,10000
1338,2061,Headphones,accessories,1,2000,2023-03-31,2000
1339,,Charger,Accessories,4,5000,2023-12-11,20000
1340,2054,Charger,Accessories,1,,2023-12-16,
1341,2039,Headphones,accessories,4,1000,2023-09-20,4000
1342,2091,Charger,Accessories,2,20000,2023-12-17,40000
1343,2074,Headphones,accessories,1,15000,2023-04-18,15000
1344,2090,Smartphone,electronics,2,5000,2023-03-15,10000
1345,2019,Headphones,accessories,4,15000,2023-02-08,60000
1346,2039,Keyboard,accessories,5,2000,2023-06-08,10000
1347,2067,Headphones,accessories,5,2000,2023-03-12,10000
1348,2045,Charger,Accessories,2,2000,2023-11-08,4000
1349,2013,Mouse,Accessories,4,500,2023-08-29,2000
1350,2092,Keyboard,accessories,2,15000,2023-10-25,30000
1351,2058,Charger,Accessories,2,5000,2023-02-05,10000
1352,2020,Laptop,Electronics,5,,2023-03-25,
1353,2092,Laptop,Electronics,1,5000,2023-09-20,5000
1354,2072,Mouse,Accessories,1,10000,2023-11-06,10000
1355,2061,Mouse,,2,10000,2023-06-21,20000
1356,,Keyboard,accessories,1,20000,2023-06-22,20000
1357,2039,Smartphone,electronics,1,,2023-12-28,
1358,2001,Mouse,Accessories,3,10000,2023-02-16,30000
1359,2003,Laptop,Electronics,3,2000,2023-05-21,6000
1360,2077,Headphones,accessories,5,5000,2023-04-28,25000
1361,2092,Charger,Accessories,5,15000,2023-10-04,75000
1362,2062,Laptop,Electronics,2,2000,2023-08-02,4000
1363,2063,Laptop,Electronics,2,500,2023-08-08,1000
1364,2025,Smartphone,electronics,2,10000,2023-01-26,20000
1365,2056,Keyboard,accessories,3,2000,2023-01-09,6000
1366,2033,Keyboard,accessories,2,2000,2023-09-28,4000
1367,2038,Monitor,Electronics,4,500,2023-01-10,2000
1368,2006,Smartphone,electronics,3,1000,2023-05-01,3000
1369,2058,Headphones,accessories,3,5000,2023-05-05,15000
1370,2044,Keyboard,accessories,3,15000,2023-06-19,45000
1371,2045,Charger,Accessories,2,20000,2023-03-13,40000
1372,2032,Mouse,,5,1000,2023-06-01,5000
1373,2045,Smartphone,electronics,4,10000,2023-07-27,40000
1374,2061,Mouse,Accessories,1,2000,2023-02-18,2000
1375,2047,Laptop,Electronics,5,,2023-06-03,
1376,2021,Charger,Accessories,3,500,2023-12-13,1500
1377,2080,Charger,Accessories,5,500,2023-10-20,2500
1378,2085,Laptop,Electronics,4,,2023-03-09,
1379,2075,Smartphone,electronics,3,5000,2023-02-19,15000
1380,,Laptop,Electronics,1,1000,2023-06-01,1000
1381,2036,Mouse,Accessories,2,20000,2023-01-19,40000
1382,2099,Monitor,Electronics,3,5000,2023-04-10,15000
1383,2019,Charger,Accessories,4,,2023-03-01,
1384,2020,Tablet,ELECTRONICS,2,2000,2023-06-16,4000
1385,2057,Tablet,ELECTRONICS,1,,2023-07-21,
1386,2018,Mouse,Accessories,5,5000,2023-12-11,25000
1387,2047,Headphones,accessories,,15000,2023-05-26,
1388,,Keyboard,accessories,3,500,2023-06-13,1500
1389,2049,Laptop,Electronics,1,500,2023-08-30,500
1390,2014,Laptop,Electronics,2,10000,2023-03-10,20000
1391,2015,Headphones,accessories,1,10000,2023-06-24,10000
1392,2031,Headphones,accessories,5,,2023-02-18,
1393,2001,Mouse,Accessories,1,20000,2023-04-18,20000
1394,2054,Mouse,Accessories,3,2000,2023-08-14,6000
1395,2003,Headphones,accessories,2,15000,2023-06-10,30000
1396,2016,Charger,Accessories,3,1000,2023-04-29,3000
1397,2087,Mouse,Accessories,4,5000,2023-05-29,20000
1398,2057,Monitor,Electronics,5,20000,2023-05-30,100000
1399,2075,Mouse,Accessories,2,2000,2023-10-20,4000
1400,2012,Laptop,Electronics,1,10000,2023-05-23,10000
1401,2074,Mouse,Accessories,1,,2023-06-09,
1402,2096,Charger,Accessories,5,5000,2023-01-11,25000
1403,2016,Headphones,accessories,5,10000,2023-05-18,50000
1404,2072,Laptop,Electronics,3,,2023-03-19,
1405,,Mouse,,4,5000,2023-03-18,20000
1406,2076,Charger,Accessories,4,1000,2023-09-11,4000
1407,2024,Monitor,Electronics,1,2000,2023-09-15,2000
1408,2028,Mouse,Accessories,5,5000,2023-11-16,25000
1409,2008,,Accessories,3,15000,2023-10-18,45000
1410,2092,Monitor,Electronics,2,20000,2023-09-20,40000
1411,2036,Headphones,accessories,3,500,2023-03-26,1500
1412,2090,Mouse,Accessories,1,15000,2023-05-26,15000
1413,2008,Monitor,Electronics,1,15000,2023-11-19,15000
1414,2058,Laptop,Electronics,4,20000,2023-02-11,80000
1415,2060,Headphones,accessories,1,500,2023-05-05,500
1416,2050,Laptop,Electronics,4,15000,2023-06-16,60000
1417,2028,Tablet,ELECTRONICS,2,5000,2023-08-29,10000
1418,2092,Smartphone,electronics,2,5000,2023-10-07,10000
1419,,Mouse,Accessories,2,5000,2023-07-07,10000
1420,2041,Monitor,Electronics,2,500,2023-10-29,1000
1421,2100,Smartphone,electronics,4,15000,2023-01-19,60000
1422,2064,,electronics,2,,2023-03-09,
1423,2027,Monitor,Electronics,3,500,2023-08-06,1500
1424,2063,Headphones,accessories,3,5000,2023-04-12,15000
1425,2017,Mouse,Accessories,4,20000,2023-02-11,80000
1426,2073,Tablet,ELECTRONICS,5,15000,2023-10-15,75000
1427,2033,Laptop,Electronics,4,15000,2023-06-16,60000
1428,2084,Charger,Accessories,2,10000,2023-04-19,20000
1429,2077,Laptop,,1,10000,2023-02-05,10000
1430,2092,Charger,Accessories,2,1000,2023-08-20,2000
1431,2029,Laptop,Electronics,3,,2023-08-17,
1432,2013,Monitor,Electronics,1,,2023-12-19,
1433,2046,Tablet,ELECTRONICS,3,2000,2023-06-13,6000
1434,2035,Mouse,Accessories,3,,2023-03-14,
1435,2006,Charger,Accessories,2,10000,2023-05-16,20000
1436,2082,Mouse,Accessories,4,500,2023-12-19,2000
1437,2069,Mouse,,1,,2023-03-11,
1438,2047,Mouse,Accessories,1,10000,2023-07-15,10000
1439,2025,Keyboard,accessories,4,1000,2023-09-26,4000
1440,2066,Headphones,accessories,3,15000,2023-02-18,45000
1441,2010,Laptop,Electronics,4,,2023-11-12,
1442,2056,Mouse,Accessories,3,1000,2023-05-10,3000
1443,2030,Laptop,Electronics,2,15000,2023-01-05,30000
1444,,Mouse,Accessories,5,20000,2023-01-27,100000
1445,2005,Charger,Accessories,4,20000,2023-06-09,80000
1446,2033,Headphones,accessories,4,15000,2023-05-29,60000
1447,2065,Headphones,accessories,2,,2023-09-21,
1448,2018,Monitor,Electronics,3,2000,2023-08-18,6000
1449,2096,Keyboard,accessories,2,10000,2023-07-19,20000
1450,2049,Monitor,Electronics,1,500,2023-02-19,500
1451,2011,Monitor,Electronics,5,500,2023-03-08,2500
1452,2085,Monitor,Electronics,1,5000,2023-10-27,5000
1453,2026,Monitor,Electronics,,15000,2023-02-27,
1454,2063,Monitor,Electronics,3,500,2023-09-16,1500
1455,2089,Tablet,ELECTRONICS,1,,2023-12-08,
1456,2086,Headphones,accessories,3,2000,2023-11-22,6000
1457,2059,Monitor,Electronics,5,15000,2023-05-10,75000
1458,2027,Mouse,Accessories,4,2000,2023-08-03,8000
1459,2049,Headphones,accessories,5,,2023-06-21,
1460,2077,Headphones,accessories,4,500,2023-09-15,2000
1461,2033,Smartphone,electronics,4,500,2023-04-12,2000
1462,2098,Tablet,ELECTRONICS,5,5000,2023-07-28,25000
1463,,Monitor,Electronics,2,500,2023-10-18,1000
